"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000001146",43.9608848147222,-0.0874492994836908,0.024287773976628,-3.60054814277516,0.00031754702253777,0.00180514310858454
"ENST00000003302",112.975735491802,0.389983879554091,0.0538629903257545,7.2402938863129,4.47713515551403e-13,2.29198104300808e-11
"ENST00000003912",24.5490699425322,0.139442294973661,0.03339452869329,4.17560302330842,2.97197710355175e-05,0.000230677668827335
"ENST00000004531",224.079195473228,-0.241813672456839,0.040058441051244,-6.03652229370342,1.57471005010381e-09,3.74989061721117e-08
"ENST00000005374",26.5914605945312,0.0894286637696784,0.0324199026357769,2.75844948624212,0.00580762802260022,0.021536440323485
"ENST00000006015",36.0460796655793,0.0877969572811048,0.0273517564561634,3.20992026313984,0.00132771797723104,0.00616406897681373
"ENST00000006053",59.3745572669897,0.128879746965819,0.0274465871720753,4.69565655495937,2.6575173644791e-06,2.76810471520378e-05
"ENST00000007390",115.481424471516,-0.0829193820873606,0.0178893699460821,-4.63512031654981,3.56729930591289e-06,3.57622882882782e-05
"ENST00000007414",42.0022910851898,0.241656243859975,0.0344547806145852,7.01372174047972,2.32060707857101e-12,1.02261461581841e-10
"ENST00000007708",297.743319432018,0.126740347530751,0.0405408055961418,3.1262414662725,0.00177056107481191,0.00788171733392971
"ENST00000007722",28.1606662686137,0.117448585243499,0.0324979362890411,3.61403210957444,0.000301471701591883,0.0017276316525986
"ENST00000007735",28.8741453934579,-0.259525241227734,0.0913877369720896,-2.83982566837162,0.00451381942795189,0.0174124503060625
"ENST00000008180",123.283286246854,0.6501670484257,0.0803130363046516,8.09541113549012,5.70712641309681e-16,5.5393354994584e-14
"ENST00000009180",54.3359165464888,-0.168137238718849,0.0410271630496323,-4.09819315353212,4.16387756136554e-05,0.000310005786180795
"ENST0000000RYR1",489.646028997776,0.348321435278114,0.0545850834827178,6.3812568022983,1.75640483178489e-10,5.17767250375011e-09
"ENST00000010299",32.200030282858,-0.174836806565142,0.0293567572057311,-5.95558989502456,2.59135409230908e-09,5.87447675277088e-08
"ENST00000010404",18.8781418659987,-0.734993540713929,0.0927164888475544,-7.92732285108871,2.23920603622104e-15,1.89908620599204e-13
"ENST00000011473",108.69358522442,-0.150086801461354,0.0359415363498195,-4.17585937341567,2.96863179987597e-05,0.000230440570179203
"ENST00000011700",78.1475559295018,0.148290520687689,0.028185265057251,5.26127820286507,1.4305738542583e-07,2.08993451538274e-06
"ENST00000011898",49.5504994178433,0.113479010498562,0.0239716103713089,4.73389183041213,2.20255140108783e-06,2.35007966904552e-05
"ENST00000012443",89.2327761865014,0.0498849355990789,0.0187574984988636,2.65946632500603,0.00782645534551967,0.0276065235527343
"ENST00000013807",66.0047460912736,0.111852855903111,0.0242832425149726,4.60617464221035,4.10143970615438e-06,4.04044929273408e-05
"ENST00000014930",78.5656242639016,-0.101740723104048,0.0278175716780609,-3.65742647422704,0.000254760304963699,0.00149251838964289
"ENST00000014935",146.534382931011,-0.0698857847299647,0.024804411398072,-2.81747402139109,0.00484030302092661,0.0184705059528615
"ENST00000016171",49.0385787017473,0.374542381519469,0.0380577606773374,9.84141932823969,7.4650164060577e-23,2.89467418566046e-20
"ENST00000019019",43.0769497815445,0.0612176220183785,0.02472189544449,2.47625114974842,0.0132770145244105,0.0428358401756293
"ENST00000019317",77.5790897320029,0.0650395716351764,0.020498174225832,3.17294462026832,0.00150901305465957,0.00687533208126602
"ENST00000020945",29.1891527893109,0.113997066754035,0.0342923358545531,3.32427243327896,0.000886495498306489,0.00436466658541587
"ENST00000022615",828.033353595761,-0.221574205324204,0.0410856751899116,-5.39297953118734,6.92988493920382e-08,1.09587399722601e-06
"ENST00000023939",64.3549253804895,-0.0646512288586319,0.0230190201883949,-2.80860038044651,0.00497573677911305,0.0189045336995475
