"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000000233",67.8741083588508,-0.0650626647631637,0.0232524173784882,-2.79810325542134,0.00514036769932426,0.0181009813896918
"ENST00000000412",56.2964796649374,-0.102212391125385,0.0289418041461111,-3.53165236725988,0.000412971868694829,0.00208177914679337
"ENST00000000442",136.563725506608,0.0868223845491055,0.0193214490839984,4.49357520606515,7.00372710636067e-06,5.96655448174824e-05
"ENST00000001008",133.548676004218,-0.266569657116991,0.0382014834667713,-6.97799229050519,2.99428086004388e-12,1.4653952563545e-10
"ENST00000002125",59.2714415102641,-0.308287307374377,0.0438689830523886,-7.02745507016241,2.10334504969942e-12,1.07462345587403e-10
"ENST00000002501",75.0382594484558,-0.0781307611580656,0.0325609632813579,-2.39952241224994,0.0164164748188653,0.0479302646044158
"ENST00000003100",164.187310768746,0.171660544617039,0.0384747325047092,4.46164361496283,8.1333409673753e-06,6.802449738002e-05
"ENST00000003912",24.5490699425322,0.101229241441325,0.0388094661280495,2.60836469915162,0.00909759691291075,0.0293081992816916
"ENST00000004531",224.079195473228,0.129908486337936,0.046495671590826,2.79399096503356,0.00520619332130267,0.0182997186274205
"ENST00000004982",810.173150965859,0.186745259795226,0.0730910124919033,2.5549688453955,0.0106197302646094,0.0333544135218092
"ENST00000005257",40.6205873943753,-0.137905647606374,0.0306253138120741,-4.50299541263816,6.70023306433439e-06,5.73882587953405e-05
"ENST00000005259",74.0023890606825,-0.315957753287973,0.0532760741236092,-5.9305749998564,3.01875654553543e-09,6.39962939314603e-08
"ENST00000005340",37.6622950365481,0.0735949639112575,0.0305095819371401,2.4121918177341,0.0158569366245026,0.0465384752060913
"ENST00000005374",26.5914605945312,-0.23393732530248,0.0394860397046098,-5.92455781973924,3.1313882159131e-09,6.61241133377265e-08
"ENST00000005386",68.5060098373701,-0.257628962195268,0.047410867451812,-5.43396432172686,5.51156057272683e-08,8.27603659270846e-07
"ENST00000006053",59.3745572669897,0.199582757837448,0.0316078419841524,6.3143430651645,2.71311481393119e-10,7.67159055085628e-09
"ENST00000006275",65.2799582767281,0.0668105364165424,0.0233161041069475,2.86542451989802,0.00416450539715948,0.0151350243880909
"ENST00000006658",43.5481348282427,0.0882979201167655,0.0287943998471661,3.06649628349367,0.00216583500797615,0.00867057466573056
"ENST00000007390",115.481424471516,-0.15666251906794,0.0210973613373509,-7.42569255760829,1.12191319941067e-13,8.4585249812977e-12
"ENST00000007516",234.970499400048,-0.332496088031681,0.0472401662842268,-7.03841908665548,1.94433153563843e-12,1.00602213242283e-10
"ENST00000007708",297.743319432018,0.135889995757639,0.0471773846448342,2.88040544809045,0.0039716405942613,0.0145366268510012
"ENST00000007722",28.1606662686137,0.145209237796045,0.0374697036433475,3.87537726954576,0.000106459627717277,0.000644176501234783
"ENST00000007969",27.0583982837857,-0.106108224967751,0.0369138597451894,-2.87448198861349,0.0040469085163214,0.0147652851720524
"ENST00000008527",23.5339056818868,-0.17354894359877,0.0461965586576837,-3.75675047322825,0.000172133977956327,0.000977790426092327
