"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000384272",17.9086968709982,1.45900946901712,0.0977697596929758,14.9229114769108,2.33843278712908e-50,3.78346732793549e-45
"ENST00000459428",63.2148367963563,1.01673545249825,0.0721454691075142,14.0928524698213,4.20238213496756e-45,3.39962208763538e-40
"ENST00000411374",26.26170894057,1.8295489136825,0.133214557728077,13.7338512012858,6.36577737502049e-43,2.92632929654234e-38
"ENST00000523264",51.6971280129247,1.4458603716152,0.105348237453896,13.7245805583407,7.23465940614319e-43,2.92632929654234e-38
"ENST00000384965",14.7821766909774,0.71517711445078,0.0528103857924649,13.5423573170114,8.7921480501362e-42,2.84505118754357e-37
"ENST00000486279",16.3122074804122,1.33755515535486,0.0992252420376599,13.4799888404123,2.05137864866308e-41,5.53171347434071e-37
"ENST00000358585",43.4990808679043,0.942929534664444,0.0713130674628206,13.2223948318595,6.51558916225828e-40,1.50598535501083e-35
"ENST00000418835",31.25085360664,0.707291515853205,0.0545120828438087,12.9749493865384,1.69708412919647e-38,3.43224658354179e-34
"ENST00000385251",118.65043899673,1.01313362065872,0.0784576830433116,12.9131218430123,3.79593453681127e-38,6.82403587092644e-34
"ENST00000401147",22.8932470456763,1.24156193367749,0.0974654484681201,12.7384827463611,3.61353952104737e-37,5.84652626807859e-33
"ENST00000540987",56.5106623731728,0.518905287173107,0.0412464701865193,12.5805986506623,2.69976172116541e-36,3.9709813425087e-32
"ENST00000555852",155.342214521878,0.519914016039946,0.0416971194101742,12.4688233478566,1.10444827267094e-35,1.48911840230663e-31
"ENST00000366181",66.2046827723275,0.422765396121555,0.0339907286259441,12.4376679527508,1.63199340928619e-35,2.03114133581123e-31
"ENST00000576878",72.187868168722,0.702686835074753,0.0572061319835684,12.283418065682,1.11198932748185e-34,1.28510223742805e-30
"ENST00000365161",71.238678622232,0.800812385429225,0.0666556384341453,12.0141732078737,2.99348644821904e-33,3.22887426593066e-29
"ENST00000524065",43.0686681874796,0.724059955164625,0.0605302356414998,11.9619550046524,5.62224559719498e-33,5.68532016498851e-29
"ENST00000572721",103.891241572931,0.66733533871606,0.0559809856075636,11.9207500810042,9.22740171565304e-33,8.78204388578872e-29
"ENST00000401157",10.5032135436868,1.04117794075052,0.0887582148493254,11.7304966364861,8.89353207580357e-32,7.9940501233591e-28
"ENST00000411146",152.608815838478,0.792247933319813,0.0677025960136958,11.7018841221324,1.24654613709315e-31,1.06149964342624e-27
"ENST00000559179",176.835442146874,0.459800297435741,0.0393995607657962,11.6701884107019,1.81021894569581e-31,1.46442187159427e-27
